date,location,windgustdir,windgustspeed,winddir9am,winddir3pm,windspeed9am,windspeed3pm
1/26/2010,NorahHead,S,44,WSW,ESE,9,15
1/26/2010,NorfolkIsland,SW,24,NE,N,11,6
1/26/2010,Penrith,WNW,41,NA,S,NA,9
1/26/2010,Richmond,NNW,46,NW,NNE,2,7
1/26/2010,Sydney,NA,NA,NE,ENE,6,19
1/26/2010,SydneyAirport,E,30,NNE,E,15,22
1/26/2010,WaggaWagga,SSW,46,ENE,W,9,19
1/26/2010,Williamtown,WSW,35,N,NE,7,13
1/26/2010,Wollongong,SSE,28,SE,NNE,11,11
1/26/2010,Canberra,NA,NA,NA,NA,NA,NA
1/26/2010,Tuggeranong,SSW,35,N,WSW,6,20
1/26/2010,MountGinini,W,44,W,SW,17,19
1/26/2010,Ballarat,SSE,43,NA,SSW,0,15
1/26/2010,Bendigo,SSE,44,SE,W,9,9
1/26/2010,Sale,SSE,48,WNW,SSE,7,31
1/26/2010,MelbourneAirport,S,43,SSW,SSE,11,26
1/26/2010,Melbourne,S,43,SSW,SSE,11,26
1/26/2010,Mildura,S,48,SSE,SSW,6,13
1/26/2010,Portland,SSE,37,SSW,SW,15,17
1/26/2010,Watsonia,SSW,35,S,SW,2,22
1/26/2010,Dartmoor,SSW,41,SSW,SSW,19,26
1/26/2010,Brisbane,NE,31,WSW,NE,4,15
1/26/2010,Cairns,N,37,N,SE,13,13
1/26/2010,GoldCoast,NE,44,NNW,NE,20,33
1/26/2010,Townsville,NNE,48,ESE,NNE,19,13
1/26/2010,Adelaide,SE,31,SW,SE,13,9
1/26/2010,MountGambier,SSW,43,S,SSW,24,30
1/26/2010,Nuriootpa,SE,39,SSW,ESE,6,15
1/26/2010,Woomera,SE,43,SE,SE,20,19
1/26/2010,Albany,NA,NA,SSE,SE,20,20
1/26/2010,Witchcliffe,SSE,43,E,SSE,17,24
1/26/2010,PearceRAAF,E,67,ESE,S,20,15
1/26/2010,PerthAirport,ESE,52,E,SSW,28,17
1/26/2010,Perth,SE,37,E,SW,13,20
1/26/2010,SalmonGums,SE,43,SSE,SSE,20,26
1/26/2010,Walpole,SE,41,ESE,ESE,20,22
1/26/2010,Hobart,WNW,63,NNW,SSW,28,31
1/26/2010,Launceston,N,39,WNW,NNW,7,26
1/26/2010,AliceSprings,ESE,43,ESE,E,9,26
1/26/2010,Darwin,WSW,46,W,WSW,22,28
1/27/2010,Albury,W,43,S,WSW,7,15
1/27/2010,BadgerysCreek,NA,NA,SE,E,13,22
1/27/2010,Cobar,SSW,44,NNE,SW,11,15
1/27/2010,CoffsHarbour,SSW,46,N,S,13,13
1/27/2010,Moree,S,52,NNE,ENE,20,13
1/27/2010,Newcastle,NA,NA,SE,SE,4,9
1/27/2010,NorahHead,SSW,44,S,SSE,31,28
1/27/2010,NorfolkIsland,ESE,33,ENE,SSE,17,15
1/27/2010,Penrith,SE,33,SE,E,13,19
1/27/2010,Richmond,E,43,ESE,ESE,19,28
1/27/2010,Sydney,NA,NA,S,SSE,19,20
1/27/2010,SydneyAirport,NA,NA,SSW,SSE,31,26
1/27/2010,WaggaWagga,W,48,ENE,WSW,24,20
1/27/2010,Williamtown,S,43,SE,SE,11,28
1/27/2010,Wollongong,S,43,SSE,SSE,28,15
1/27/2010,Canberra,NA,NA,NA,NA,NA,NA
1/27/2010,Tuggeranong,ENE,50,E,NNW,9,11
1/27/2010,MountGinini,WNW,33,NE,NW,15,15
1/27/2010,Ballarat,SE,46,SE,SE,31,24
1/27/2010,Bendigo,SSE,43,SSE,S,20,17
1/27/2010,Sale,ESE,30,S,SE,11,15
1/27/2010,MelbourneAirport,SSE,48,SSE,S,22,26
1/27/2010,Melbourne,SSE,48,SSE,S,22,26
1/27/2010,Mildura,SSE,37,SE,S,20,17
1/27/2010,Portland,ESE,35,ESE,SE,20,20
1/27/2010,Watsonia,SSW,50,SSE,SW,15,26
1/27/2010,Dartmoor,SE,44,S,SSE,13,20
1/27/2010,Brisbane,SE,41,W,NNE,6,15
1/27/2010,Cairns,SSE,30,NA,NNE,0,13
1/27/2010,GoldCoast,S,69,NW,N,11,31
1/27/2010,Townsville,E,46,ESE,WNW,9,15
1/27/2010,Adelaide,S,41,ENE,NW,7,19
1/27/2010,MountGambier,SSE,54,SE,S,30,30
1/27/2010,Nuriootpa,SE,41,ESE,ESE,15,17
1/27/2010,Woomera,S,76,ESE,ESE,19,6
1/27/2010,Albany,NA,NA,SSE,ESE,22,20
1/27/2010,Witchcliffe,S,48,SE,SE,20,28
1/27/2010,PearceRAAF,E,67,E,ENE,20,9
1/27/2010,PerthAirport,E,54,E,ESE,15,17
1/27/2010,Perth,SW,43,SE,SW,11,19
1/27/2010,SalmonGums,SE,41,SE,SE,22,22
1/27/2010,Walpole,SE,41,SE,SE,20,24
1/27/2010,Hobart,S,37,NNW,SE,13,24
1/27/2010,Launceston,NW,31,ESE,NW,13,13
1/27/2010,AliceSprings,SE,48,ENE,E,20,17
1/27/2010,Darwin,WNW,50,SW,W,13,28
1/28/2010,Albury,NW,35,SE,WNW,2,22
1/28/2010,BadgerysCreek,NE,35,NA,ENE,NA,15
1/28/2010,Cobar,NE,39,ESE,SE,11,9
1/28/2010,CoffsHarbour,NNE,28,SW,ENE,15,13
1/28/2010,Moree,NA,NA,NNE,N,28,19
1/28/2010,Newcastle,NA,NA,NA,NE,0,2
1/28/2010,NorfolkIsland,SE,39,SE,SE,22,24
1/28/2010,Richmond,ENE,30,NA,NA,0,NA
1/28/2010,Sydney,NA,NA,NA,ENE,0,17
1/28/2010,SydneyAirport,NA,NA,SSW,ENE,9,22
1/28/2010,WaggaWagga,NW,43,NNE,WNW,9,9
1/28/2010,Williamtown,NE,48,NNE,ESE,9,24
1/28/2010,Wollongong,NE,37,SSE,NE,6,19
1/28/2010,Canberra,NA,NA,NA,NA,NA,NA
1/28/2010,Tuggeranong,WNW,39,ENE,NNW,9,20
1/28/2010,MountGinini,NW,43,NNE,WNW,13,19
1/28/2010,Ballarat,SE,44,SE,SSE,22,19
1/28/2010,Bendigo,SSE,41,SSE,WSW,15,11
1/28/2010,Sale,SE,39,ENE,ESE,20,22
1/28/2010,MelbourneAirport,SSW,43,W,SSW,15,20
1/28/2010,Melbourne,SSW,43,W,SSW,15,20
1/28/2010,Mildura,WSW,28,ESE,SSE,15,13
1/28/2010,Portland,SSW,35,ESE,S,17,19
1/28/2010,Watsonia,SW,43,ESE,S,4,20
1/28/2010,Dartmoor,SW,46,S,SSW,9,31
1/28/2010,Brisbane,ENE,28,E,NE,7,17
1/28/2010,Cairns,S,33,SSE,N,13,17
1/28/2010,GoldCoast,NNE,37,N,NNE,13,31
1/28/2010,Townsville,ESE,35,SE,ESE,20,17
1/28/2010,Adelaide,SSE,33,NE,SW,9,15
1/28/2010,MountGambier,S,43,SE,SSE,17,28
1/28/2010,Nuriootpa,SW,31,E,SSW,11,17
1/28/2010,Woomera,SSE,67,NNE,SSE,17,13
1/28/2010,Albany,NA,NA,ESE,ESE,19,19
1/28/2010,Witchcliffe,SSE,48,SE,SSE,24,26
1/28/2010,PearceRAAF,ESE,67,ESE,SE,26,22
1/28/2010,PerthAirport,E,67,ESE,E,15,19
1/28/2010,Perth,ESE,39,SE,SE,13,15
1/28/2010,SalmonGums,SSE,52,SE,SE,22,22
1/28/2010,Walpole,SE,46,SE,ESE,19,26
1/28/2010,Hobart,SE,37,NNW,ESE,11,19
1/28/2010,Launceston,NW,39,NNW,WNW,4,20
1/28/2010,AliceSprings,S,74,NE,ESE,11,19
1/28/2010,Darwin,SSE,78,SSW,W,24,28
1/29/2010,Albury,SSE,35,SE,NNE,2,7
1/29/2010,Cobar,ESE,33,SE,S,9,7
1/29/2010,CoffsHarbour,NNW,35,S,SE,11,9
1/29/2010,Moree,NA,NA,NA,NA,NA,NA
1/29/2010,Newcastle,NA,NA,NA,NA,NA,NA
1/29/2010,NorahHead,S,48,NA,S,NA,26
1/29/2010,NorfolkIsland,E,41,SE,SE,17,24
1/29/2010,Penrith,ESE,39,NA,ESE,NA,24
1/29/2010,Richmond,SE,41,SE,SE,2,28
1/29/2010,Sydney,NA,NA,WNW,SE,7,20
1/29/2010,SydneyAirport,NA,NA,NA,S,NA,30
1/29/2010,WaggaWagga,ENE,44,E,WSW,6,24
1/29/2010,Williamtown,SSE,35,NW,SSE,9,26
1/29/2010,Wollongong,SSE,57,SE,SSE,17,44
1/29/2010,Canberra,NA,NA,NA,NA,NA,NA
1/29/2010,Tuggeranong,E,44,WSW,ESE,4,9
1/29/2010,Ballarat,S,50,S,SSE,31,30
1/29/2010,Bendigo,S,44,SSE,S,26,26
1/29/2010,Sale,SE,41,SW,SSW,13,19
1/29/2010,MelbourneAirport,SSE,48,S,S,24,30
1/29/2010,Melbourne,SSE,48,S,S,24,30
1/29/2010,Mildura,S,41,SSE,S,24,20
1/29/2010,Portland,SE,33,S,SSE,17,19
1/29/2010,Watsonia,S,48,S,SSW,24,20
1/29/2010,Dartmoor,ESE,46,S,S,11,24
1/29/2010,Brisbane,S,31,W,NE,9,9
1/29/2010,Cairns,SSE,28,NA,SE,0,7
1/29/2010,GoldCoast,W,39,NW,NNE,13,11
1/29/2010,Townsville,ESE,44,NNE,SE,2,13
1/29/2010,Adelaide,SE,35,SSE,ESE,11,13
1/29/2010,MountGambier,SSE,48,SSE,S,19,28
1/29/2010,Nuriootpa,SSE,44,SE,SSE,26,13
1/29/2010,Woomera,SSE,44,SSE,SSE,30,22
1/29/2010,Albany,NA,NA,ENE,SE,9,33
1/29/2010,Witchcliffe,SSE,43,ESE,S,11,20
1/29/2010,PearceRAAF,E,67,E,S,15,17
1/29/2010,PerthAirport,E,67,E,SSW,31,11
1/29/2010,Perth,WSW,43,E,SW,19,24
1/29/2010,SalmonGums,E,39,ENE,NE,17,11
1/29/2010,Walpole,ESE,39,ENE,SSE,15,15
1/29/2010,Hobart,SW,48,SW,SSW,17,30
1/29/2010,Launceston,NNE,44,NNE,E,7,13
1/29/2010,AliceSprings,SE,56,ESE,ESE,17,30
1/29/2010,Darwin,WNW,57,W,W,26,37
1/30/2010,Albury,NE,46,SSE,NW,15,9
1/30/2010,BadgerysCreek,NE,37,NA,NA,NA,NA
1/30/2010,Cobar,E,46,E,ENE,24,24
1/30/2010,CoffsHarbour,SSW,44,SSW,SSE,31,22
1/30/2010,Moree,NA,NA,NA,NA,NA,NA
1/30/2010,Newcastle,NA,NA,NA,S,NA,11
1/30/2010,NorahHead,S,54,SSW,NA,33,NA
1/30/2010,NorfolkIsland,SE,41,SE,SE,17,28
1/30/2010,Penrith,ESE,35,S,NA,13,NA
1/30/2010,Richmond,SE,37,S,S,13,7
1/30/2010,Sydney,NA,NA,S,SE,26,13
1/30/2010,SydneyAirport,S,50,SSW,S,31,30
1/30/2010,WaggaWagga,ENE,52,ENE,ENE,30,17
1/30/2010,Williamtown,S,48,S,SSE,30,22
1/30/2010,Wollongong,SSE,54,SW,SE,17,19
1/30/2010,Canberra,NA,NA,NA,NA,NA,NA
1/30/2010,Tuggeranong,ENE,43,SE,ENE,15,20
1/30/2010,MountGinini,NE,43,NA,ENE,NA,20
1/30/2010,Ballarat,SE,57,NNE,N,15,24
1/30/2010,Bendigo,N,44,E,NNE,15,26
1/30/2010,Sale,E,48,E,E,20,35
1/30/2010,MelbourneAirport,NNE,50,W,N,9,26
1/30/2010,Melbourne,NNE,50,W,N,9,26
1/30/2010,Mildura,SE,28,ESE,SSW,19,9
1/30/2010,Portland,E,33,E,SE,20,20
1/30/2010,Watsonia,SW,46,NE,NNE,6,17
1/30/2010,Dartmoor,ESE,39,E,NNW,20,15
1/30/2010,Brisbane,SSW,46,SSE,SE,9,22
1/30/2010,Cairns,NNW,52,N,NNW,19,24
1/30/2010,GoldCoast,SSE,54,SSE,S,31,24
1/30/2010,Townsville,NNE,81,E,NE,35,39
1/30/2010,Adelaide,WSW,31,E,W,11,11
1/30/2010,MountGambier,W,37,E,W,26,9
1/30/2010,Nuriootpa,NNE,41,E,NNE,17,13
1/30/2010,Woomera,SSE,39,ESE,SSE,24,11
1/30/2010,Albany,NA,NA,SSW,SW,24,31
1/30/2010,Witchcliffe,S,54,S,SSE,31,30
1/30/2010,PearceRAAF,SSW,46,S,SW,22,31
1/30/2010,PerthAirport,SSE,52,SW,SW,22,35
1/30/2010,Perth,SSW,54,SSW,SW,19,31
1/30/2010,SalmonGums,S,63,N,SSW,17,41
1/30/2010,Walpole,SSW,44,S,SSW,17,26
1/30/2010,Hobart,S,37,NNW,SE,9,20
1/30/2010,Launceston,N,39,WNW,NNW,6,19
1/30/2010,AliceSprings,SSE,50,SSE,SE,13,24
1/30/2010,Darwin,S,59,ESE,WNW,20,13
1/31/2010,Albury,NE,44,ENE,E,22,15
1/31/2010,BadgerysCreek,NNE,54,E,NA,4,NA
1/31/2010,Cobar,E,43,ENE,ENE,24,9
1/31/2010,CoffsHarbour,ENE,48,ESE,ENE,7,19
1/31/2010,Moree,NE,54,E,NE,19,19
1/31/2010,Newcastle,NA,NA,SE,NE,4,15
1/31/2010,NorahHead,NNE,48,ENE,ENE,22,26
1/31/2010,NorfolkIsland,SE,48,SE,SE,28,28
1/31/2010,Penrith,NE,39,SSW,ENE,7,17
1/31/2010,Richmond,NE,41,S,ENE,4,20
1/31/2010,Sydney,NA,NA,E,E,19,24
1/31/2010,SydneyAirport,NE,52,ENE,ENE,26,35
1/31/2010,WaggaWagga,ENE,44,ENE,NW,26,7
1/31/2010,Williamtown,ENE,54,ENE,ENE,13,35
1/31/2010,Wollongong,NE,35,ENE,NE,11,24
1/31/2010,Canberra,NA,NA,NA,NA,NA,NA
1/31/2010,Tuggeranong,ENE,41,NE,NNW,7,13
1/31/2010,MountGinini,NE,44,NE,NNE,20,13
1/31/2010,Ballarat,N,70,NNE,NNE,41,41
1/31/2010,Bendigo,SW,76,NNE,NNE,24,26
1/31/2010,Sale,WSW,57,WNW,ENE,7,31
1/31/2010,MelbourneAirport,N,81,N,N,61,44
1/31/2010,Melbourne,N,81,N,N,61,44
1/31/2010,Mildura,NE,50,NNE,N,22,17
1/31/2010,Portland,SW,56,W,WSW,30,31
1/31/2010,Watsonia,W,59,NNE,N,24,26
1/31/2010,Dartmoor,SSW,56,W,SW,20,35
1/31/2010,Brisbane,ENE,50,ENE,E,11,17
1/31/2010,Cairns,WNW,61,NNW,WNW,17,19
1/31/2010,GoldCoast,ENE,59,E,ESE,33,31
1/31/2010,Townsville,N,65,NNW,N,24,24
1/31/2010,Adelaide,SSE,44,SW,WSW,13,28
1/31/2010,MountGambier,SSW,52,WNW,SW,13,33
1/31/2010,Nuriootpa,W,44,NE,W,13,30
1/31/2010,Woomera,SE,59,SE,SW,24,33
1/31/2010,Albany,NA,NA,SE,SE,17,22
1/31/2010,Witchcliffe,S,43,ESE,SSE,19,22
1/31/2010,PearceRAAF,ESE,48,ESE,SE,28,22
1/31/2010,PerthAirport,ESE,44,ESE,SSE,31,17
1/31/2010,Perth,SE,37,E,SSE,15,15
1/31/2010,SalmonGums,ESE,50,SE,SSE,24,26
1/31/2010,Walpole,SE,41,SE,SE,17,24
1/31/2010,Hobart,NNW,74,NNW,NNW,22,48
1/31/2010,Launceston,NW,46,SE,NW,11,30
1/31/2010,AliceSprings,SSE,54,NA,SSE,0,33
1/31/2010,Darwin,WSW,52,WSW,W,15,24
2/1/2010,Albury,E,67,S,SSE,4,15
2/1/2010,BadgerysCreek,E,44,NA,NE,0,26
2/1/2010,Cobar,E,39,E,ESE,15,17
2/1/2010,CoffsHarbour,ESE,52,SW,ESE,11,15
2/1/2010,Moree,ESE,54,ESE,ESE,26,35
2/1/2010,Newcastle,NA,NA,NA,NE,0,9
2/1/2010,NorahHead,NE,33,ENE,E,11,22
2/1/2010,NorfolkIsland,S,33,S,SE,20,20
2/1/2010,Penrith,ESE,41,S,E,9,26
2/1/2010,Richmond,NE,39,NA,ENE,0,19
2/1/2010,Sydney,NA,NA,E,E,13,24
2/1/2010,SydneyAirport,E,46,ENE,ENE,20,31
2/1/2010,WaggaWagga,NNE,54,E,E,15,19
2/1/2010,Williamtown,ESE,50,E,E,19,33
2/1/2010,Wollongong,ENE,28,NNE,ENE,6,22
2/1/2010,Canberra,NA,NA,NA,NA,NA,NA
2/1/2010,Tuggeranong,E,43,SSE,E,7,20
2/1/2010,MountGinini,NE,50,ESE,ENE,13,24
2/1/2010,Ballarat,ESE,61,ESE,SE,33,31
2/1/2010,Bendigo,SSE,43,SE,SSE,22,20
2/1/2010,Sale,WSW,46,SW,ESE,6,30
2/1/2010,MelbourneAirport,S,39,SSE,S,15,28
2/1/2010,Melbourne,S,39,SSE,S,15,28
2/1/2010,Mildura,E,39,SSE,ESE,22,19
2/1/2010,Portland,E,48,ESE,SE,24,30
2/1/2010,Watsonia,SW,33,S,SE,13,13
2/1/2010,Dartmoor,ESE,54,ESE,ESE,33,31
2/1/2010,Brisbane,ENE,46,E,ESE,22,20
2/1/2010,Cairns,WNW,41,WNW,SSW,11,4
2/1/2010,GoldCoast,E,63,ESE,SE,46,46
2/1/2010,Townsville,NNW,37,NNW,NNW,19,15
2/1/2010,Adelaide,SE,30,SE,WSW,15,7
2/1/2010,MountGambier,SE,48,SE,SE,35,22
2/1/2010,Nuriootpa,SE,41,SSE,ESE,24,20
2/1/2010,Woomera,SE,54,SSE,SSW,26,24
2/1/2010,Albany,NA,NA,N,SSE,4,19
2/1/2010,Witchcliffe,S,39,SSE,SW,7,19
2/1/2010,PearceRAAF,SW,48,E,SW,15,30
2/1/2010,PerthAirport,NA,NA,E,SW,24,28
2/1/2010,Perth,SW,46,E,SW,9,20
2/1/2010,SalmonGums,ENE,39,NNE,NNW,22,17
2/1/2010,Walpole,NNE,41,W,SSE,4,15
2/1/2010,Hobart,SSW,39,SSW,SE,15,22
2/1/2010,Launceston,S,52,SSE,SSW,26,13
2/1/2010,AliceSprings,S,52,E,S,9,26
2/1/2010,Darwin,W,41,NW,W,11,33
2/2/2010,Albury,ENE,39,SSE,NE,7,9
2/2/2010,BadgerysCreek,SE,44,ESE,SE,17,22
2/2/2010,Cobar,E,54,ESE,E,26,31
2/2/2010,CoffsHarbour,SSE,46,SSE,SW,24,17
2/2/2010,Moree,ENE,61,E,E,41,33
2/2/2010,Newcastle,NA,NA,SE,S,15,28
2/2/2010,NorahHead,SE,61,ESE,SSE,30,41
2/2/2010,NorfolkIsland,E,54,ESE,SSE,20,22
2/2/2010,Penrith,ESE,44,ESE,SE,17,26
2/2/2010,Richmond,SE,56,SE,SE,19,33
2/2/2010,Sydney,NA,NA,ESE,SE,19,30
2/2/2010,SydneyAirport,SE,52,SE,SSE,28,33
2/2/2010,WaggaWagga,ENE,54,E,NE,24,31
2/2/2010,Williamtown,SE,48,E,SSE,26,30
2/2/2010,Wollongong,ESE,44,ESE,SE,28,31
2/2/2010,Canberra,NA,NA,NA,NA,NA,NA
2/2/2010,Ballarat,NNE,50,NNE,ESE,37,24
2/2/2010,Bendigo,E,39,ENE,ENE,19,17
2/2/2010,Sale,E,59,ENE,E,19,39
2/2/2010,MelbourneAirport,N,52,E,SE,11,20
2/2/2010,Melbourne,N,52,E,SE,11,20
2/2/2010,Mildura,ESE,48,E,E,11,20
2/2/2010,Portland,ENE,35,ENE,E,20,20
2/2/2010,Watsonia,SE,28,E,ESE,9,13
2/2/2010,Dartmoor,ESE,46,ENE,E,13,20
2/2/2010,Brisbane,E,46,ESE,ESE,19,13
2/2/2010,Cairns,WSW,59,N,N,7,24
2/2/2010,GoldCoast,SE,57,SE,SSE,37,31
2/2/2010,Townsville,NNW,28,NNW,N,19,15
2/2/2010,Adelaide,ENE,39,SSW,SW,2,11
2/2/2010,MountGambier,SSE,41,ENE,ESE,15,13
2/2/2010,Nuriootpa,ESE,46,NE,ESE,15,6
2/2/2010,Woomera,ENE,46,NNE,ENE,19,22
2/2/2010,Albany,NA,NA,S,S,31,20
2/2/2010,Witchcliffe,SSE,48,SSE,S,22,31
2/2/2010,PearceRAAF,SSW,50,SSE,SW,19,33
2/2/2010,PerthAirport,NA,NA,S,SW,19,39
2/2/2010,Perth,SSW,56,S,SSW,15,30
2/2/2010,SalmonGums,SSW,57,SE,SW,9,11
2/2/2010,Walpole,NA,NA,SSE,S,15,19
2/2/2010,Hobart,SE,33,NNW,SE,9,20
2/2/2010,Launceston,NNW,31,ESE,NW,9,13
2/2/2010,AliceSprings,S,48,SW,SW,9,28
2/2/2010,Darwin,WNW,43,W,WNW,26,30
2/3/2010,Albury,E,57,SSE,ESE,15,17
2/3/2010,Cobar,E,56,E,NNW,24,24
2/3/2010,CoffsHarbour,NE,41,ENE,E,15,13
2/3/2010,Moree,ENE,52,E,ENE,20,26
2/3/2010,Newcastle,NA,NA,NE,SE,4,28
2/3/2010,NorahHead,ENE,48,E,NA,33,NA
2/3/2010,NorfolkIsland,E,63,E,E,30,37
2/3/2010,Penrith,ESE,43,SE,ESE,19,22
2/3/2010,Richmond,NE,52,ESE,ENE,17,26
2/3/2010,Sydney,NA,NA,E,E,26,26
2/3/2010,SydneyAirport,ESE,52,E,E,35,31
2/3/2010,WaggaWagga,ENE,85,ENE,ENE,30,37
2/3/2010,Williamtown,E,50,E,E,26,31
2/3/2010,Wollongong,E,54,E,ENE,35,19
2/3/2010,Canberra,NA,NA,NA,NA,NA,NA
2/3/2010,Tuggeranong,E,48,NA,E,NA,24
2/3/2010,Ballarat,NNE,56,NNE,ENE,37,24
2/3/2010,Bendigo,NE,44,ENE,ENE,17,20
2/3/2010,Sale,E,72,E,E,41,54
2/3/2010,MelbourneAirport,N,43,ENE,NE,19,13
2/3/2010,Melbourne,N,43,ENE,NE,19,13
2/3/2010,Mildura,NE,61,ENE,ENE,22,15
2/3/2010,Portland,E,43,NNE,S,13,17
2/3/2010,Watsonia,SE,31,NE,NNW,4,11
2/3/2010,Dartmoor,ENE,46,NNE,NE,24,19
2/3/2010,Brisbane,E,31,E,E,17,19
2/3/2010,Cairns,N,33,W,N,11,22
2/3/2010,GoldCoast,E,43,ESE,ESE,30,20
2/3/2010,Townsville,NNE,26,NA,N,0,19
2/3/2010,Adelaide,NNE,26,NNE,W,2,17
2/3/2010,MountGambier,NNE,54,NNE,NE,39,26
2/3/2010,Nuriootpa,NNE,33,E,NE,17,13
2/3/2010,Woomera,SE,50,SE,ESE,17,31
2/3/2010,Albany,NA,NA,SSW,SSW,33,28
2/3/2010,Witchcliffe,NA,NA,SSE,SSE,19,20
2/3/2010,PearceRAAF,SSW,44,SSE,SE,26,20
2/3/2010,PerthAirport,SE,63,SSE,SSE,30,20
2/3/2010,Perth,SSW,50,SSE,SW,19,31
2/3/2010,SalmonGums,SSW,57,S,S,33,33
2/3/2010,Walpole,SSW,39,S,SSE,19,17
2/3/2010,Hobart,ENE,50,NNW,NE,15,28
2/3/2010,Launceston,E,41,E,NE,13,17
2/3/2010,AliceSprings,SW,48,NNW,WSW,6,26
2/3/2010,Darwin,WNW,41,W,W,24,26
2/4/2010,Albury,NNW,44,ENE,NA,19,NA
2/4/2010,BadgerysCreek,ENE,43,NA,ENE,NA,24
2/4/2010,Cobar,N,57,NE,ENE,6,19
2/4/2010,CoffsHarbour,N,35,SW,E,13,17
2/4/2010,Moree,ENE,50,ENE,NNE,22,24
2/4/2010,Newcastle,NA,NA,SE,SE,4,28
2/4/2010,NorahHead,NE,48,ENE,ENE,20,28
2/4/2010,NorfolkIsland,E,74,E,E,41,41
2/4/2010,Penrith,NE,44,WSW,NE,4,20
2/4/2010,Richmond,NE,41,ESE,ENE,9,28
2/4/2010,Sydney,NA,NA,E,E,28,28
2/4/2010,SydneyAirport,ENE,61,E,ENE,30,31
2/4/2010,WaggaWagga,NE,70,ENE,ESE,30,26
2/4/2010,Williamtown,ENE,52,E,NE,15,30
2/4/2010,Wollongong,ENE,69,ENE,NE,24,30
2/4/2010,Canberra,NA,NA,NA,NA,NA,NA
2/4/2010,Tuggeranong,ENE,41,E,ENE,9,22
2/4/2010,MountGinini,ENE,65,NA,ENE,NA,31
2/4/2010,Ballarat,NNE,57,NNE,NNE,33,28
2/4/2010,Bendigo,NNE,46,NE,NE,24,22
2/4/2010,Sale,E,59,ENE,E,31,35
2/4/2010,MelbourneAirport,N,63,N,N,22,26
2/4/2010,Melbourne,N,63,N,N,22,26
2/4/2010,Mildura,S,41,SE,SE,15,17
2/4/2010,Portland,NNW,39,NNW,WNW,9,13
2/4/2010,Watsonia,NE,43,NNE,N,17,9
2/4/2010,Dartmoor,NW,44,NNW,W,7,11
2/4/2010,Brisbane,NE,26,ESE,ENE,4,15
2/4/2010,Cairns,W,28,WSW,NNE,9,17
2/4/2010,GoldCoast,NE,30,SE,NE,11,22
2/4/2010,Townsville,NE,26,ENE,NNE,7,13
2/4/2010,Adelaide,SW,52,SW,WSW,9,20
2/4/2010,MountGambier,N,65,NNW,W,9,19
2/4/2010,Nuriootpa,W,46,NE,SSE,11,9
2/4/2010,Woomera,S,57,SW,SSW,28,28
2/4/2010,Albany,NA,NA,WSW,ESE,6,22
2/4/2010,Witchcliffe,W,35,E,SSE,22,20
2/4/2010,PearceRAAF,ESE,61,E,ESE,22,15
2/4/2010,PerthAirport,E,61,ENE,SSE,31,13
2/4/2010,Perth,SSW,39,E,S,15,15
2/4/2010,SalmonGums,SE,43,SE,SE,9,15
